amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
111-7500650-9929828	111-7500650-9929828	2018-06-29T18:24:00+00:00	2018-07-01T15:46:27+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Boyshort Panties Women Sexy Lace Fun Underwear Briefs Ladies Knickers Womens Triangle Thong Black XL	NK-XUHM001-K0-XL	B078WPYL96	Shipped	1	USD	6.99								AMHERST	OHIO	44001-2757	US		false		
113-3039746-3841050	113-3039746-3841050	2018-06-29T13:46:25+00:00	2018-06-30T19:58:08+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's Microfiber Longline Lace Bralette Yellow M	NY-B15016-Y0-M	B078NQWBSV	Shipped	1	USD	18.99								WEST MILFORD	NJ	07480-2213	US		false		
113-1079582-9705042	113-1079582-9705042	2018-06-29T09:31:52+00:00	2018-06-30T17:38:19+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women Bras No Wire Sports Bra Watermelon Red 40	N039YXGH40	B074JXZSJM	Shipped	1	USD	7.99								kokomo	IN	46902	US		false		
113-6595743-9965050	113-6595743-9965050	2018-06-29T06:56:30+00:00	2018-06-30T10:30:27+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Embroidery Bras Set Lace Lingerie Bra and Panties White 46	N3818-2YW046	B074CWWB41	Shipped	1	USD	8.86								ALEXANDRIA	OH	43001-9712	US		false		
114-6661784-2118617	114-6661784-2118617	2018-06-28T22:37:27+00:00	2018-07-01T16:05:49+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	2	USD	45.8								WOODRUFF	WI	54568-9243	US		false		
111-3881448-8415435	111-3881448-8415435	2018-06-28T19:56:04+00:00	2018-06-29T03:34:57+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XL	MY71115K0XXL	B0761SKR3P	Shipped	1	USD	42.99								Fountain Valley	Ca	92708	US		false		
113-6458608-0866645	113-6458608-0866645	2018-06-28T19:23:55+00:00	2018-07-01T06:28:51+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Yellow Medium	KTKXKY0	B071HHSJ1R	Shipped	1	USD	22.99								SAN JOSE	CA	95113-1810	US		false		
113-9674895-9274623	113-9674895-9274623	2018-06-28T16:47:03+00:00	2018-07-03T04:50:44+00:00	Shipped	Amazon	Amazon.com			Standard	ZAIAI Boyshort Panties Women Sexy Lace Fun Underwear Briefs Ladies Knickers Womens Triangle Thong Black XXL	NK-XUHM001-K0-XXL	B078WQHD98	Shipped	2	USD	13.98		5.99						SOUTH RIDING	VA	20152-5332	US		false		
111-6925118-7232215	111-6925118-7232215	2018-06-28T15:04:02+00:00	2018-07-01T02:33:25+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's Pushup Bra Panty Set Orange 44	N31459YJS46	B074CXNWMZ	Shipped	1	USD	13.9								CHARLOTTESVILLE	VA	22911-5637	US		false		
111-6925118-7232215	111-6925118-7232215	2018-06-28T15:04:02+00:00	2018-07-01T02:33:25+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's Panty Bra Push Up Blue 38	N31459YB040	B074CXLQVY	Shipped	1	USD	13.9								CHARLOTTESVILLE	VA	22911-5637	US		false		
114-2323828-9950647	114-2323828-9950647	2018-06-28T13:42:37+00:00	2018-07-02T06:51:27+00:00	Shipped	Amazon	Amazon.com			Standard	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra Pack of 2 Rose/Purple Melange M	NY-XUHM332-HS-M	B07BKNWPWQ	Shipped	1	USD	12.99								BELTSVILLE	MD	20705-1765	US		false		
113-7354819-4779456	113-7354819-4779456	2018-06-28T12:51:48+00:00	2018-06-29T01:07:40+00:00	Shipped	Amazon	Amazon.com			NextDay	ZAIAI Nursing Bras For Women Sports Bra Red 36	N2716YR036	B074QGLLQN	Shipped	1	USD	9.99		3.99						Middleburg	FL	32068	US		false		
