Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved: Customer Order	Reserved: FC Transfer	Reserved: FC Processing
LYQ-BS4600-N0-S	X000NNVTMZ	B01N1IYVH5	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Brown S	5	0	0	5
LYQ-EUWH5339-K0-XL	X000RDDT2J	B07648CNQX	Summer Mae Women's Elegant Sexy V Neck Long Slit Dress with Waistband and Pockets	1	0	1	0
LYQ-WH1312-P0-L	X000QQ95AR	B074W4QLTC	Summer Mae Women's Long Sleeve Knitted Dress V Neck Midi Sweater Split Dress	1	0	0	1
LYQ-WH1109-G7-M	X000QQ910B	B074V717QH	Summer Mae Women's 3/4 Sleeve Basic Long Bodycon Dress with Solide Color	1	0	0	1
LYQ-WH1109-DG-S	X000QQ8VDJ	B074V6WV9H	Summer Mae Women's 3/4 Sleeve Basic Long Bodycon Dress with Solide Color	2	0	0	2
MY-EU1925-G7-2XL	X000RE5Z3T	B07649JN4W	Summer Mae Women Sexy V Neck Oversized Knitted Patchwork Casual Pullovers Sweater Green XXL	1	0	0	1
MY-SB019-BL-S	B077XGL33J	B077XGL33J	Mocotono Men's Cotton Sweater V- Neck Regular Fit Knitwear Knit Jumper Blue S	1	1	0	0
MY-WH7622-K0-M	X000R2FF8V	B075FQCSXX	Summer Mae Women's V Neck Cross Wrap Jumper Knitted Ribbed Front Sweater Top M Black	7	0	0	7
MY-WH7624-G7-S	X000R2FF95	B075FQWK7C	Summer Mae Women's Cold Shoulder Jumper S Light Green	3	0	0	3
MY-WH7624-BG-M	X000R2FK3B	B075FP41RC	Summer Mae Women's Cold Shoulder Jumper M Beige	4	0	0	4
MY-WH7624-BG-XL	X000R2FOIR	B075FR2DH2	Summer Mae Women's Cold Shoulder Jumper XL Beige	1	0	0	1
MY-WH7622-R0-XL	X000R2XEY3	B075FMKF16	Summer Mae Women's V Neck Cross Wrap Jumper Knitted Ribbed Front Sweater Top XL Red	4	0	0	4
MY-WH7624-G0-M	X000R2FOJ1	B075FR898Y	Summer Mae Women's Cold Shoulder Jumper M Grey	2	0	0	2
MY-WH7624-G7-L	X000R2EXFR	B075FR3DRT	Summer Mae Women's Cold Shoulder Jumper L Light Green	1	0	0	1
MY-WH7624-G0-L	X000R2EXG1	B075FQVX3X	Summer Mae Women's Cold Shoulder Jumper L Grey	1	0	0	1
