sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BS-PW331-GE-S	X000P7GB2R	B06XY1TQK1	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2859.38	0	0	0
BS-PW331-M1-2L	X000P7L7HL	B06XY1JVBJ	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	Yes	0	No	0	0	0	0	0	2553.76	0	0	0
BS-PW331-M1-L	X000P7L4QP	B06XY1WKG4	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-M1-M	X000P7L2B7	B06XXJMXVW	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-M1-S	X000P6UMRD	B06XXYQJ5B	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2553.76	0	0	0
BS-PW331-M2-3L	X000PRZQDH	B06XXXZSDR	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-M2-M	X000PRYB9R	B06XXZPX25	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2553.76	0	0	0
BS-PW331-M2-S	X000PRY8SB	B06XXTB93V	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-M3-3L	X000PRYB83	B06XY1HSY9	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-M3-M	X000PS43FN	B06XXZKZ4T	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2261.74	0	0	0
BS-PW331-M3-S	X000PS43ML	B06XY468J9	Summer Mae Tankini Floral Traje de Baño Dos Piezas Push up para Mujer	New	30.00	No		Yes	0	0	0	0	0	2553.76	0	0	0
BS-TW410-K0-L	X000OJVM93	B06Y599C7K		Unknown					0	0	0	0	0		0	0	0
BS-TW410-K0-M	X000OJVM6B	B06Y5K998L		Unknown					0	0	0	0	0		0	0	0
BS-TW410-K0-S	X000OH2BU9	B06Y5PCRSK		Unknown					0	0	0	0	0		0	0	0
BS-TW410-K0-XL	X000OH2BTP	B06Y599C7K		Unknown					0	0	0	0	0		0	0	0
