"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B01LX5RN5B","B01M4QQA9K","Summer Mae Chaussons Peluche Motifs Animaux Hiver Pour Femme","7","0.08%","8","0.07%","25%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01M59530X","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles S Marron","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01M5JCF70","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles S Bleu","4","0.05%","4","0.04%","25%","1","0","25.00%","0.00%","€16.99","€0.00","1","0"
"B06WD25VDK","B01M6UNN0N","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XXL Marron","2","0.02%","2","0.02%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01M7NHI4J","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XL Marron","3","0.03%","3","0.03%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01MDUDE2E","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles M Bleu","2","0.02%","2","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01MDUDF3T","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XL Bleu","4","0.05%","4","0.04%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WGMZYHJ","B01MQJP2YK","Maillots de Bain Natation Tankini Piscine Grande Taille pour Femme","9","0.10%","9","0.08%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WGMZYHJ","B01MQJP47N","Maillots de Bain 1 Pèice Piscine Grande Taille pour Femme","2","0.02%","3","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WGMZYHJ","B01MQJP6LF","Maillots de Bain 1 Pèice Piscine Grande Taille pour Femme","2","0.02%","3","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTG86Y9","B01MQKFRQS","Summer Mae Robe Pull Uni Tricot Torsadé Manche Longue pour Femme","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B075GHZRQW","B01MQLQYKR","Summer Mae Femme Chaussons Dessin Chat Super Chaud - Rouge - Taille 35 EU","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WLJGVC6","B01MQMAHUT","Summer Mae Femme V-Col Robe En Tricot A Manches Longues","1","0.01%","2","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WLJGVC6","B01MQMAL64","Summer Mae Femme V-Col Robe En Tricot A Manches Longues","2","0.02%","2","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WLJCYH2","B01MQMQ9MR","Summer Mae Femme Tunique A Manches Longues - T-Shirt Robe Mini Avec Dentelles","4","0.05%","6","0.05%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD25VDK","B01MQPQALH","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XS Vert","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N0SY804","B01MQVW9DX","Summer Mae Femme Bottes de Neige Fourrées Rejoint du Tricot","5","0.06%","9","0.08%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LX5RN5B","B01MRGTJF3","Summer Mae Femme Panda Sympa Chaussons Bottes Chauds","2","0.02%","2","0.02%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
