Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BX-PUHM000-PI-3XL	X001SU8A5T	B077GVB9QZ	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink 3XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-PI-4XL	X001SU8A9Z	B077GVDKL1	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink 4XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-PI-5XL	X001STM6FZ	B077GVKJ5G	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink 5XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-PI-L	X001STM6F5	B077GVHM6C	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink L	New	12.00	No		Yes	0	0	0	0	0	0.09	0	0	0
BX-PUHM000-PI-M	X001SU4NHN	B077GSRQ2X	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink M	New	12.00	No		Yes	0	0	0	0	0	0.09	0	0	0
BX-PUHM000-PI-S	X001STQJL7	B077GVG5Y9	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink S	New	12.00	No		Yes	0	0	0	0	0	0.07	0	0	0
BX-PUHM000-PI-XL	X001SU6W4F	B077GTSW3V	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Pink XL	New	12.00	No		Yes	0	0	0	0	0	0.08	0	0	0
BX-PUHM000-R0-2XL	X001SU7MOJ	B077GT5NM7	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red 2XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-R0-3XL	X001SU7EJH	B077GW6SRH	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red 3XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-R0-4XL	X001SU7MOT	B077GTCV4D	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red 4XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
