Merchant SKU	Fulfilment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CA-XZ-HMXX018-Y0-3637	X001LTCOQN	B01MA1MR40	MiYang Women's Plush Winter Warm Animal Soft Cute Home Slippers dog 3637	New	59.99	No		Yes	2	2	0	0	2	3554.19	0	0	0
CA-XZ-HMXX018-Y0-3839	X001LSEL2J	B01M4GEPS6	MiYang Women's Plush Winter Warm Animal Soft Cute Home Slippers dog 3839	New	59.99	No		Yes	2	2	0	0	2	4558.55	0	0	0
CA-XZ-HMYZ22-GR-35(3)	X001UK28AZ	B01N0VHR0D	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	0	0	0	0	0	2783.02	0	0	0
CA-XZ-HMYZ22-GR-36(4)	X001UK2ET5	B01MS20P1X	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	0	0	0	0	0	2797.6	0	0	0
CA-XZ-HMYZ22-GR-37(5)	X001UK28B9	B01N4IN51X	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	0	0	0	0	0	2831.19	0	0	0
CA-XZ-HMYZ22-GR-38(5.5)	X001UJOXIL	B01MS20PUZ	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	917.68	0	0	0
CA-XZ-HMYZ22-GR-39(6)	X001UJOXIV	B01MU59RHI	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	2096.07	0	0	0
CA-XZ-HMYZ22-GR-40(7)	X001UK0VTZ	B01MR0NIF9	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	2754.83	0	0	0
CA-XZ-HMYZ22-GR-41(8)	X001UJPVLJ	B01N9M9O9K	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	1899.59	0	0	0
CA-XZ-HMYZ22-PI-35(3)	X001UK2ETF	B01N2YJEK3	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	0	0	0	0	0	2779.9	0	0	0
CA-XZ-HMYZ22-PI-36(4)	X001UK26ZH	B01MZ4FF3P	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	0	0	0	0	0	2024.46	0	0	0
CA-XZ-HMYZ22-PI-37(5)	X001UJPVL9	B01N4IMUD1	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	0	0	0	0	0	982.9	0	0	0
CA-XZ-HMYZ22-PI-38(5.5)	X001UK2EWH	B01N6LHQ2C	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	917.68	0	0	0
CA-XZ-HMYZ22-PI-39(6)	X001UK28AP	B01MU59PTP	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	2096.07	0	0	0
CA-XZ-HMYZ22-PI-40(7)	X001UK27GZ	B01MT3PSFH	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	2501.32	0	0	0
CA-XZ-HMYZ22-PI-41(8)	X001UK2EWR	B01N2YJGBY	MiYang Winter Women's Pure Cotton Soft Sole Washable Anti-Skid Cozy House Shoes Slippers	New	23.99	No		Yes	2	2	0	0	2	1899.59	0	0	0
CA-XZ-MUYG7223-K0-36	X001UL6HUL	B07FW1G218	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	114.71	0	0	0
CA-XZ-MUYG7223-K0-38	X001UKNR9B	B07FVQXRXR	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	114.71	0	0	0
CA-XZ-MUYG7223-K0-40	X001UL6HU1	B07FVKKQZC	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	114.71	0	0	0
CA-XZ-MUYG7223-K0-42	X001ULBWM9	B07FVRMYP1	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	114.71	0	0	0
CA-XZ-MUYG7223-K0-44	X001UL80VP	B07FVFFVFF	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	114.71	0	0	0
CA-XZ-YG7223Co4041	X001UKNRAZ	B018Z5D8W8	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	12493.83	0	0	0
CA-XZ-YG7223Co4243	X001UL6HTR	B018Z5D9QS	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	1631.33	0	0	0
CA-XZ-YG7223Co4445	X001UKNRAF	B018Z5DB52	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	2174.56	0	0	0
CA-XZ-YG7223Da3637	X001UL8CIL	B07C2CZBFX	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11931.26	0	0	0
CA-XZ-YG7223Da3839	X001UL7IQN	B07C2QR6YS	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11992.22	0	0	0
CA-XZ-YG7223Da4041	X001ULBWMJ	B018Z5D5SA	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11270.2	0	0	0
CA-XZ-YG7223Da4243	X001UL6HUV	B018Z5D6QQ	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	12975.11	0	0	0
CA-XZ-YG7223Da4445	X001UKNK4N	B018Z5D7VU	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	15981.65	0	0	0
CA-XZ-YG7223Gr3637	X001UKNJS5	B018Z5B68G	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11931.26	0	0	0
CA-XZ-YG7223Gr3839	X001UL6HUB	B018Z5B7EO	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11992.22	0	0	0
CA-XZ-YG7223Gr4041	X001UKNRAP	B018Z5B8BG	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	8216.47	0	0	0
CA-XZ-YG7223Pu3637	X001UL8CIB	B018Z5B4KG	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	10214.38	0	0	0
CA-XZ-YG7223Pu3839	X001UKNJRV	B01A887IOY	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	8472.44	0	0	0
CA-XZ-YG7223Pu4041	X001UKNKDJ	B018Z5B5G4	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11206.46	0	0	0
CA-XZ-YG7223RB3637	X001UL7IQX	B018Z5B97O	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11931.26	0	0	0
CA-XZ-YG7223RB3839	X001UL80VF	B018Z5BA5K	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	11992.22	0	0	0
CA-XZ-YG7223RB4041	X001UL7IQD	B018Z5D4PE	MiYang Winter Vintage Arctic Solid Indoor Boot Slippers	New	39.99	No		Yes	0	0	0	0	0	16060.96	0	0	0
CA-XZ-ZQ6606-C0-4041	X001UMRIM1	B075JF6HJS	MiYang Winter Women and Men Cute Solid Plush Winter Warm Indoor Slippers House Shoes	New	24.99	No		Yes	0	0	0	0	0	34.41	0	0	0
CA-XZ-ZQ6606-C0-4041-GM	X001UK3IF9	B07G112VF3		Unknown					0	0	0	0	0		0	0	0
