"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B0761NM3BZ","B0761NGYTK","Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy XXL","47","0.70%","56","0.64%","54%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761Q1QWN","B0761NGYTK","Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy XXL","11","0.16%","11","0.13%","18%","1","0","9.09%","0.00%","US$42.99","US$0.00","1","0"
"B0761NM3BZ","B0761NHB1Y","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XS","10","0.15%","10","0.11%","20%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761NJH9L","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy L","9","0.13%","9","0.10%","89%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NJH9L","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy L","13","0.19%","14","0.16%","86%","2","0","15.38%","0.00%","US$85.98","US$0.00","2","0"
"B0761S4G52","B0761NJPNM","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige M","17","0.25%","19","0.22%","16%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NJPNM","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige M","26","0.39%","31","0.35%","42%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NLN4R","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XXL","1","0.01%","1","0.01%","0%","1","0","100.00%","0.00%","US$42.99","US$0.00","1","0"
"B0761NM3BZ","B0761NM1NH","ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige M","6","0.09%","6","0.07%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NM3BZ","ZAIAI Women's Polar Freeze Short Down Jacket Warm Winter Coat","108","1.61%","131","1.49%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761NM3SZ","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige S","10","0.15%","14","0.16%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NM3SZ","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige S","30","0.45%","35","0.40%","77%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761NMRB4","ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Black M","5","0.07%","5","0.06%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NMRB4","ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Black M","16","0.24%","16","0.18%","94%","1","0","6.25%","0.00%","US$39.99","US$0.00","1","0"
"B0761MXYJC","B0761NNDWM","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black S","6","0.09%","9","0.10%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NNDWM","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black S","29","0.43%","34","0.39%","85%","2","0","6.90%","0.00%","US$68.78","US$0.00","2","0"
"B0761NM3BZ","B0761NNM84","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XL","27","0.40%","29","0.33%","21%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761NNM84","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XL","10","0.15%","12","0.14%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761P4LK2","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy M","50","0.74%","58","0.66%","41%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761P4LK2","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy M","11","0.16%","12","0.14%","100%","2","0","18.18%","0.00%","US$52.80","US$0.00","2","0"
"B0761S4G52","B0761P4LKC","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige L","25","0.37%","31","0.35%","74%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761P4LKC","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige L","76","1.13%","95","1.08%","96%","1","0","1.32%","0.00%","US$34.39","US$0.00","1","0"
"B0761NM3BZ","B0761PBXCV","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy L","10","0.15%","12","0.14%","58%","1","0","10.00%","0.00%","US$42.99","US$0.00","1","0"
"B0761MXYJC","B0761PBXCV","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy L","11","0.16%","19","0.22%","0%","2","0","18.18%","0.00%","US$85.98","US$0.00","2","0"
"B0761NM3BZ","B0761PDHV5","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XS","12","0.18%","13","0.15%","62%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761PDHV5","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XS","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761PDMGN","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black S","4","0.06%","4","0.05%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
