Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
XZ-YG7223Gr4041	X000XU0CEH	B018Z5B8BG	Winter Vintage Boot Slippers Arctic Solid Indoor Green 9 B(M) US	1	1	0	0
XZ-YG7223Pu3839	X000XU0CER	B01A887IOY	Winter Vintage Boot Slippers Arctic Solid Indoor Pink 8 B(M) US	2	1	0	1
XZ-YG7223Da3637	X001QXCERD	B07C2CZBFX	Winter Vintage Boot Slippers Arctic Solid Indoor Dark Blue 6 B(M) US	1	1	0	0
XZ-YG7223RB3839	X000XU0CE7	B018Z5BA5K	Winter Vintage Boot Slippers Arctic Solid Indoor Rubber Red 8 B(M) US	1	0	0	1
XZ-YG7223RB3637	X000XU0CDX	B018Z5B97O	Winter Vintage Boot Slippers Arctic Solid Indoor Rubber Red 6 B(M) US	1	0	0	1
XZ-YG7223Pu3637	X000XU0CDD	B018Z5B4KG	Winter Vintage Boot Slippers Arctic Solid Indoor Pink 6 B(M) US	1	0	0	1
XZ-ZQ2256-K0-1617	X001LZWA6V	B076VHK5QY	Cute Dinosaur Slippers Toddlers Family Cartoon Winter Warm House Slippers Booties Black 7-8 B(M) US Toddler	2	0	0	2
XZ-ZQ2256-B0-20	X001M0S8MF	B076VG5LFB	Cute Dinosaur Slippers Kids Family Cartoon Winter Warm House Slippers Booties Blue 10-11 B(M) US Little Kid	1	1	0	0
XZ-ZQ2256-B0-1617	X001M0R263	B076VMDCGD	Cute Dinosaur Slippers Toddlers Family Cartoon Winter Warm House Slippers Booties Blue 7-8 B(M) US Toddler	1	1	0	0
XZ-ZQ6102-R0-3637	X001ACBZ1B	B01N06UL7Q	Winter Cute Cat Dog Warm House Slippers Booties	1	0	0	1
XZ-ZQ8032-K0-1617	X001AINFVD	B01MG7IU7L	GaraTia Toddlers Cute Panda Winter Warm House Slippers Booties	1	0	0	1
XZ-ZQCB2056-E0-22	X0019OY2EH	B01M9I2TK9	Little Kid Cute Cat Warm House Slippers Booties Grey 11 B(M) US Little Kid	3	1	1	1
XZ-ZQCB2056-B0-23	X0019QCYQD	B01M4Q9SV9	Little Kid Cute Cat Warm House Slippers Booties Blue 12 B(M) US Little Kid	1	1	0	0
XZ-ZQCB3056-B0-28	X0019RT7PN	B01MG7F0CC	Women Cute Cat Warm House Slippers Booties Blue 10-11 B(M) US Adult	3	1	1	1
XZ-ZQJZ120-PE-260	X001KC6H2D	B074TB7QRV	GaraTia Winter Women's Cute Footprints Warm Indoor Slippers House Shoes	1	1	0	0
XZ-ZQCB3056-R2-26	X0019QKJIX	B01M34BFGG	Women Cute Cat Warm House Slippers Booties Rose 7.5-8.5 B(M) US Adult	1	1	0	0
XZ-ZQCB3056-E0-28	X0019QKJSN	B01M7WQVPJ	Women Cute Cat Warm House Slippers Booties Grey 10-11 B(M) US Adult	1	0	0	1
YZ-BS5119ZL5XL	X00147UDPB	B01FXAQVH2	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Tag 5XL(US 3XL) Navy Blue	1	0	0	1
YZ-BD1704-K0-S	X001DJ3KKF	B06XTKJWRL	MiYang Vintage Polka Dot Swimdress Crossover Black Slimming One Piece Swimsuit	1	0	0	1
YZ-BS5119ZL3XL	X00145XF4T	B01FXAQRNK	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swimdresses Tag 3XL(US XL) Navy Blue	2	0	0	2
YZ-BD1704-K0-2XL	X001DK0YXP	B06XTPTXB5	MiYang Vintage Polka Dot Swimdress Crossover Black Slimming One Piece Swimsuit	2	0	0	2
YZ-BShyl5119K0XL	X0012THDCH	B01EJ5VRJE	MiYang Women's Plus-Size Shaping One Piece Swim Dresses Swimsuit Tag 3XL(US XL) Black	5	1	3	1
YZ-BShyl5119K0L	X0012Z10ZH	B01EJ5VPSW	MiYang Women's Plus-Size Shaping One Piece Swim Dresses Swimsuit Tag 2XL(US L) Black	2	1	0	1
YZ-BShyl5119K04XL	X001OSCK6P	B079DQJPCL	MiYang Women's Plus-Size Shaping One Piece Swim Dresses Swimsuit Black 4XL	2	0	0	2
YZ-BShyl5119-YH-5XL	X001B4EPWJ	B01N1Z5YOP	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit XXX-Large(US Size:22W-24W)	13	0	10	3
YZ-BShyl5119-YT-3XL	X0015297P7	B01HFYMTRK	MiYang Women's Plus-Size Black Cherry Shaping Body One Piece Swim Dresses Swimsuit YT Tag 3XL(US XL)	1	1	0	0
YZ-BSLLK0M	X001CG46IT	B06W9P6JZT	MiYang Vintage Sailor Pin up Swimsuit One Piece Skirtini Cover up Swimdress Black S (US 4-6)	1	0	0	1
YZ-BShyl5119-YH-2XL	X001B61S95	B01N30QQDJ	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Large(US Size:12-14)	3	2	0	1
YZ-BShyl5119-YH-4XL	X001B6C18R	B01NCSVUOC	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit XX-Large(US Size:18W-20W)	17	3	11	3
YZ-BShyl5119-YH-3XL	X001B61MO1	B01NAQ17N0	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit X-Large(US Size:16-18)	3	1	2	0
YZ-BShyl5119-YT-XL	X001528QWR	B01HFYMW04	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Black Cherry (US Medium)	3	1	2	0
YZ-BShyl5119-YT-4XL	X001528DED	B01HFYMV14	MiYang Women's Plus-Size Black cherry Printing Shaping Body One Piece Swim Dresses Swimsuit YT Tag 4XL(US 2XL)	5	0	3	2
YZ-HM0007-B0-XL	X001EABOE7	B071CY9VPW	MiYang Retro One Piece Tankini Plus Size Bathing Suits Adjustable Strap Tummy Cover Ruffle Swimwear	2	0	0	2
YZ-HE13037Wi1L	X000YV0BEL	B01AXSD2IK	MiYang Women's Plus Size Printing Padded High Waist Swimdress Wine Red XS (US 0-2)	2	1	0	1
YZ-HE13037Or7L	X0019NIF87	B01N41KCAA	MiYang Women's Plus Size Printing Padded High Waist Swimdress Orange 2X (US 20W-22W)	1	1	0	0
YZ-HE13037EZ9L	X0019QEI5N	B01MXLWZ7S	MiYang Women's Plus Size Printing Padded High Waist Swimdress Blue and Green 4X (US 26W-28W)	3	0	0	3
