sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
LYQ-MUCL628-K0-L	X001QR7Y0B	B07BWJWFYX	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Black L (US8-10)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-K0-M	X001QR4OI1	B07BWBLL22	Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Black M (US4-6)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-K0-S	X001QR6THZ	B07BWGPCYL	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Black S (US0-2)	New	13.99	No		Yes	1	1	0	0	1	0.05	0	0	0
LYQ-MUCL628-K0-XL	X001QQGV15	B07BVZGRNR	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Black XL (US12-14)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-OR-M	X001QR4OQN	B07BWGR37C		Unknown					0	0	0	0	0		0	0	0
LYQ-MUCL628-R0-L	X001QQZW7T	B07CDQXH89	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Red L (US8-10)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-R0-M	X001QR6THP	B07BWDCGXB	Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Red M (US4-6)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-R0-S	X001QQZZ5N	B07BWH6G4Y	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Red S (US0-2)	New	13.99	No		Yes	1	1	0	0	1	0.05	0	0	0
LYQ-MUCL628-R0-XL	X001QQZZ7B	B07CB4KW52	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Red XL (US12-14)	New	13.99	No		Yes	1	1	0	0	1	0.05	0	0	0
LYQ-MUCL628-Y0-L	X001QR4OQX	B07BW974B8		Unknown					0	0	0	0	0		0	0	0
LYQ-MUCL628-Y0-M	X001QR6TI9	B07BWDDZPH		Unknown					0	0	0	0	0		0	0	0
LYQ-MUCL628-Y0-S	X001QR3F8L	B07BWFBHSD		Unknown					0	0	0	0	0		0	0	0
LYQ-MUCL628-Y0-XL	X001QR4OH7	B07BWFLSS2		Unknown					0	0	0	0	0		0	0	0
LYQ-MY6287-B0-L	X001JQA447	B074H12K9V	MiYang Women's Scoop-Neck Solid Sleeve Short Straight Dress, Sapphire Blue, Large	New	39.99	No		Yes	0	0	0	0	0	0.12	0	0	0
LYQ-MY6287-G0-M	X001L8WS5V	B074H2H1LQ	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Green L (US8-10)	New	14.99	No		Yes	0	0	0	0	0	0.12	0	0	0
LYQ-MY6287-P0-L	X001J72G51	B074GYJYHG		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-B0-2X	X001E183ZJ	B01M2CJRHO		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-B0-L	X001EAMNY7	B01MDUC8WA		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-B0-M	X001ESYEWX	B01MDUDE2E		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-B0-S	X001E183Z9	B01M5JCF70		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-B0-XL	X001EAEAKR	B01MDUDF3T		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-B0-XS	X001E1845N	B01M7XMBP9		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G0-2X	X001F1PUYF	B01MRR4GGW		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G0-M	X001F2BQA1	B01MQPQHB5		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G0-S	X001F29OGJ	B06XZ3WZ4S		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G0-XL	X001F1CYBH	B01N1LZPE7		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G0-XS	X001F2BQ9H	B01MQPQALH		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G7-L	X001KNPQRJ	B06XZ37QQM		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G7-M	X001E2MRXH	B01MS11D3B		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G7-S	X001E33NNT	B01MZ3GE8A		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G7-XL	X001E2MRTL	B06XZ42T58		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-G7-XS	X001HGPT0N	B01MS11C7L		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-K0-2X	X001DNN7QX	B01LAURHU4		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-K0-L	X001DNNJU7	B01KO0SCAA		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-K0-M	X001DO08VT	B01KO0SBH4		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-K0-S	X001DNRU61	B01KO0SAIE		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-K0-XL	X001DNNJWF	B01KO0SDBI		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-K0-XS	X001DOTZC7	B01KO0S9LM		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-KQ-2X	X001K1XPIN	B01N1X1M4J		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-KQ-M	X001KNQ1YB	B01N2YLI1M		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-KQ-S	X001KNQ1DH	B06XZ2GBMX		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-KQ-XL	X001F3MZLT	B01NH0M9O4		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-KQ-XS	X001F1PUYZ	B01MT3RUVQ		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-N0-2X	X001EAM09P	B01M6UNN0N		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-N0-L	X001E27O49	B01M59507R		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-N0-M	X001EA5IUN	B01M22DT7M		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-N0-S	X001EAMXU1	B01M59530X		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-N0-XL	X001EA5F2T	B01M7NHI4J		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-N0-XS	X001EAE8TZ	B01M22DUD3		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-P0-2X	X001DNNSMB	B01LAURFZ6		Unknown					0	0	0	0	0		0	0	0
LYQ-NA1010-P0-L	X001FX14JD	B017X47WOW		Unknown					0	0	0	0	0		0	0	0
