Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
SB-100-K0	X001TZQ9MT	B07DVBN2KT	LINENLUX Mesh Beach Tote Bag with Zipper Top and Insulated Picnic Cooler and Free Bonus Waterproof Cellphone Case Black	5	0	5	0
SB-101-B0	X001TZJSFJ	B07FJQJ4XP	LINENLUX Mesh Beach Tote Bag with Zipper Top and Insulated Picnic Cooler and Free Bonus Waterproof Cellphone Case Blue	1	0	0	1
SB-100-G0	X001TZL6XL	B07DVLM761	LINENLUX Mesh Beach Tote Bag with Zipper Top and Insulated Picnic Cooler and Free Bonus Waterproof Cellphone Case Green	11	0	10	1
SB-100-R0	X001TZJP2P	B07DVK4HKX	LINENLUX Mesh Beach Tote Bag with Zipper Top and Insulated Picnic Cooler and Free Bonus Waterproof Cellphone Case Red	1	0	0	1
TBYPRBTWO-M	X001DAX8O7	B01MXWAV9T	LINENLUX Hooded Waterproof Rain Ponchos with Zipper Outdoor Windbreak Bike Hike Poncho	62	2	57	3
TBYPJBLACK	X001L3MW3J	B075WTPCQ5	LINENLUX SiYang Rain Poncho Jacket Coat for Adults Ponchos Rain Hooded Waterproof with Zipper Outdoor (Black)	175	33	116	26
TBYPRBONE-M	X001D65BXH	B01N0OX2DR	LINENLUX Stylish Unisex Hooded Waterproof Raincoat with Zipper Outdoor Windbreak Rain Jacket Bike Poncho Point Cloak	252	26	198	28
TBYY0ROINT	X001KPKXZH	B075J94VLL	LINENLUX SiYang Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor (Pink Point)	27	8	6	13
SXHLYITAO2-LH-001SKFS40x60CM	X001JLBATF	B072HHBCK2	LINENLUX Set of 2pcs Polyester Spandex Banquet Wedding Party Chair Covers(Coffee)	5	0	5	0
SXHLYITAO1-LH-001WI40x60CM	X001MVZ8JP	B077FLHKK7	LINENLUX Set of 2 Removable Short Stretch Spandex Dining Chair Slipcovers Protector, Super Fit Banquet Chair Seat Cover for Hotel and Wedding Ceremony, Washable (Package Quantity: 2, White)	12	0	12	0
TBYWHITE	X001L39K3T	B075XK4TVD	LINENLUX SiYang Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor (White)	6	2	2	2
TBYPRBFOUR-M	X001BT71DJ	B01NBIQ076	Hooded Waterproof Rain Poncho with Zipper Outdoor Windbreak Colorful Ripple Rain Jacket	106	1	96	9
SXHLYITAO1-LH-001MHS40x60CM	X001JLAB6D	B0718Y1XP3	LINENLUX Stretch Polyester Spandex Dining Chair Cover for Wedding Banquet Party Many Colors Set of 2(Pink)	3	0	3	0
TM-IULCY-300-AG	X001TZULKF	B07FF5XBYR	LINENLUX Muti-functional Tent Camping Tarp Waterproof Shelter Sunshade for Picnic, Hiking,Travel,Fishing(army-green)	1	0	0	1
TBYPRBTHREE-M	X001DAKZLB	B01NGTXV1B	LINENLUX Hooded Waterproof Rain Ponchos with Zipper Outdoor Windbreak Bike Hike Poncho	5	2	1	2
TBYGREEN	X001LG3CWB	B075XFFYG6	LINENLUX SiYang Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor (Green)	23	6	3	14
TBYPJBOGO	X001KQTLVX	B075J7NJV2	LINENLUX SiYang Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor (Kenzo)	17	1	7	9
TBYSTARRED	X001L3QKWD	B075ZSTCLF	LINENLUX Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor	35	1	31	3
TBYY0POINT	X001JS7EH5	B074V4W4MJ	LINENLUX SiYang Stylish Unisex Hooded Waterproof Rain Poncho with Zipper Outdoor Windbreak Colorful Ripple Rain Jacket (Yellow Point)	11	4	2	5
YDYPFS-S	X001QNDCBF	B074KDD9P4	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	2	0	0	2
YDYPFS-XL	X001MFH19V	B074K8RKK4	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	1	1	0	0
YI-IUYLTBH-Y0	X001Q82Q6R	B07BK4DF3D	LINENLUX Stylish Unisex Hooded Waterproof Raincoat with Zipper Outdoor Windbreak Rain Jacket Bike Poncho Point Cloak (Yellow)	10	2	1	7
