"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07C75PL9W","B06XZ12WB5","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt XX-Large","4","0.04%","6","0.04%","67%","1","0","25.00%","0.00%","US$22.98","US$0.00","1","0"
"B07C75PL9W","B06XZ157NV","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Pink X-Large","6","0.05%","6","0.04%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XZ1D6S1","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Navy Blue Small","11","0.10%","14","0.10%","0%","1","0","9.09%","0.00%","US$18.98","US$0.00","1","0"
"B07C75PL9W","B06XZ1KL3X","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Navy Blue Medium","20","0.18%","21","0.16%","95%","3","0","15.00%","0.00%","US$59.94","US$0.00","3","0"
"B07C75PL9W","B06XZ1KL82","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Pink Medium","15","0.13%","16","0.12%","81%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XZ1S7LJ","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Gray Large","1","0.01%","1","0.01%","100%","1","0","100.00%","0.00%","US$20.98","US$0.00","1","0"
"B07C75PL9W","B06Y1Y8Q6M","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Sapphire Medium","7","0.06%","7","0.05%","43%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B0711Q8WDR","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Muti Plaid Small","6","0.05%","6","0.04%","33%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B0711XBBFZ","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Red and Navy Small","6","0.05%","6","0.04%","33%","1","0","16.67%","0.00%","US$25.98","US$0.00","1","0"
"B07CNVG6NZ","B0711XBC78","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts White and Navy Medium","4","0.04%","4","0.03%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B07149VLDC","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Red Medium","6","0.05%","6","0.04%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B0714HXSNL","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Black Medium","5","0.04%","5","0.04%","80%","1","0","20.00%","0.00%","US$25.98","US$0.00","1","0"
"B07DG2NGBY","B0716LH9B7","MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants White Medium","4","0.04%","5","0.04%","80%","1","0","25.00%","0.00%","US$23.98","US$0.00","1","0"
"B07CNVG6NZ","B07173Q2FN","Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts White and Navy Small","4","0.04%","5","0.04%","40%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B0719P8LD3","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Yellow XX-Large","2","0.02%","4","0.03%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DG2NGBY","B071HHSJ1R","MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Yellow Medium","69","0.61%","92","0.69%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DG2NGBY","B071NP2X5N","MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium","33","0.29%","46","0.34%","2%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B071P6G6FV","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Khaki Large","6","0.05%","6","0.04%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DG2NGBY","B071VFYY2V","MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Grey Medium","13","0.11%","19","0.14%","95%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B071VYBRWK","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Red and Navy Medium","9","0.08%","9","0.07%","100%","2","0","22.22%","0.00%","US$47.96","US$0.00","2","0"
"B07CNVG6NZ","B071VYBRWZ","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Muti Plaid XX-Large","2","0.02%","2","0.01%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B071VYBSVW","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Green Large","10","0.09%","14","0.10%","57%","3","0","30.00%","0.00%","US$77.94","US$0.00","3","0"
"B07CCKX5Z7","B071WRDPXY","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee/Grass Green Small","6","0.05%","7","0.05%","57%","1","0","16.67%","0.00%","US$18.98","US$0.00","1","0"
"B07CNVG6NZ","B071Z63KQ2","Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts White and Navy X-Large","4","0.04%","4","0.03%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B071Z6DSH7","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Red X-Large","5","0.04%","5","0.04%","60%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
