Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CFY-W1830-BK-XL	B076HLTT59	B076HLTT59	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Black X-Large	New	65.98	No		Yes	0	0	0	0	0	1.03	0	0	0
CFY-W1830-BL-XL	B076HP119S	B076HP119S	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Blue X-Large	New	64.98	No		Yes	2	2	0	0	2	0.7	0	0	0
CFY-W1830-PP-S	B076HPWVWT	B076HPWVWT	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Purple Small	New	64.98	No		Yes	0	0	0	0	0	0.7	0	0	0
CFY-W1830-PP-XL	B076HPQCCS	B076HPQCCS	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Purple X-Large	New	64.98	No		Yes	0	0	0	0	0	0.34	0	0	0
CFY-W1830-RD-L	B076HPVG3H	B076HPVG3H	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Red Large	New	64.98	No		Yes	0	0	0	0	0	0.7	0	0	0
CFY-W1830-RD-M	B076HPPN5P	B076HPPN5P	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Red Medium	New	64.98	No		Yes	1	1	0	0	1	0.7	0	0	0
CFY-W1830-RD-XL	B076HR9JQB	B076HR9JQB	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Red X-Large	New	64.98	No		Yes	1	1	0	0	1	0.7	0	0	0
CFY-W1830-RR-L	B076HPT8P1	B076HPT8P1	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Pink Large	New	64.98	No		Yes	1	1	0	0	1	0.7	0	0	0
CFY-W1830-RR-S	B076HPQ2ZR	B076HPQ2ZR	MOCOTONO Women's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Pink Small	New	64.98	No		Yes	1	1	0	0	1	0.7	0	0	0
CS-2LHY171-ZL918-XL	X001UB4CQR	B07FR2JGRN		Unknown					0	0	0	0	0		0	0	0
CS-BBS003-B0-XL	B078JJDS4Z	B078JJDS4Z		Unknown					23	23	0	0	23		0	0	0
CS-BBS003-B0-XXL	B078JM6YCM	B078JM6YCM		Unknown					7	7	0	0	7		0	0	0
CS-BBS003-BK-L	B078JD6XLB	B078JD6XLB		Unknown					21	20	0	1	21		0	0	0
CS-BBS003-BK-M	B078JNP4BD	B078JNP4BD		Unknown					17	17	0	0	17		0	0	0
CS-BBS003-BK-XL	B078JNMVTJ	B078JNMVTJ		Unknown					13	12	0	1	13		0	0	0
CS-BBS003-BK-XXL	B078JFBBFQ	B078JFBBFQ		Unknown					23	23	0	0	23		0	0	0
CS-BBS003-LB-L	B078JFBBFF	B078JFBBFF		Unknown					0	0	0	0	0		0	0	0
CS-BBS003-LB-M	B078JBBY1F	B078JBBY1F		Unknown					0	0	0	0	0		0	0	0
CS-BBS003-LB-S	B078JFH21B	B078JFH21B		Unknown					0	0	0	0	0		0	0	0
CS-BBS003-LB-XL	B078JBLCB7	B078JBLCB7		Unknown					0	0	0	0	0		0	0	0
CS-BBS003-LB-XXL	B078JFKHPP	B078JFKHPP		Unknown					10	10	0	0	10		0	0	0
CS-BBS003-NB-L	B078JD9MJD	B078JD9MJD		Unknown					2	2	0	0	2		0	0	0
CS-BBS003-NB-M	B078J8H664	B078J8H664		Unknown					13	13	0	0	13		0	0	0
CS-BBS003-NB-XL	B078JNL9TC	B078JNL9TC		Unknown					33	33	0	0	33		0	0	0
CS-BBS003-NB-XXL	B078JSKYT9	B078JSKYT9		Unknown					21	20	0	1	21		0	0	0
CS-BBS006-GN-L	B07CGLZ9CD	B07CGLZ9CD	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Green Medium	New	22.99	No		Yes	30	30	0	0	30	0.15	0	0	0
CS-BBS016-B0-L	B078JHYKHC	B078JHYKHC	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Blue Large	New	26.98	No		Yes	3	3	0	0	3	0.06	0	0	0
CS-BBS016-B0-M	B078JBLCPB	B078JBLCPB		Unknown					3	3	0	0	3		0	0	0
CS-BBS016-B0-XL	B078J8JN33	B078J8JN33		Unknown					1	1	0	0	1		0	0	0
CS-BBS016-B0-XXL	B078JKXVLL	B078JKXVLL		Unknown					1	1	0	0	1		0	0	0
CS-BBS016-BK-L	B078JKPPFR	B078JKPPFR		Unknown					5	5	0	0	5		0	0	0
CS-BBS016-BK-M	B078JN2MHB	B078JN2MHB		Unknown					1	1	0	0	1		0	0	0
CS-BBS016-BK-XL	B078JD9KD8	B078JD9KD8	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Black X-Large	New	26.98	No		Yes	0	0	0	0	0	0.06	0	0	0
CS-BBS016-LB-L	B078JNL9TB	B078JNL9TB	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Light Blue Large	New	26.98	No		Yes	0	0	0	0	0	0.06	0	0	0
CS-BBS016-LB-M	B078JBJ2V2	B078JBJ2V2		Unknown					10	10	0	0	10		0	0	0
CS-BBS016-LB-S	B078JL1QLH	B078JL1QLH		Unknown					2	2	0	0	2		0	0	0
CS-BBS016-LB-XL	B078JFKHPW	B078JFKHPW		Unknown					7	7	0	0	7		0	0	0
CS-BBS016-LB-XXL	B078JMZGT6	B078JMZGT6		Unknown					5	5	0	0	5		0	0	0
CS-BBS016-NB-L	B078J8FKC9	B078J8FKC9		Unknown					6	6	0	0	6		0	0	0
CS-BBS016-NB-M	B078JKJHTG	B078JKJHTG		Unknown					8	8	0	0	8		0	0	0
CS-BBS016-NB-XL	B078JD6WT8	B078JD6WT8		Unknown					9	9	0	0	9		0	0	0
CS-BBS016-NB-XXL	B078JFH8KP	B078JFH8KP		Unknown					0	0	0	0	0		0	0	0
CS-BBS030-BK-L	X001THOR03	B071W24T1L	Men's Short Sleeve Oxford Button Down Casual Shirt Black Large	New	23.98	No		Yes	7	4	2	1	12	0.04	0	5	0
CS-BBS030-BK-M	X001SSNYKH	B078W1DC69	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Black, Medium	New	22.98	No		Yes	14	14	0	0	14	0.04	0	0	0
CS-BBS030-BK-S	X001SSMTUD	B078W1XLVS	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Black, Small	New	22.98	No		Yes	4	4	0	0	4	0.04	0	0	0
CS-BBS030-BK-XL	X001STI74T	B078W1K5YJ	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Black, X-Large	New	23.98	No		Yes	34	32	1	1	34	0.07	0	0	0
CS-BBS030-BK-XXL	X001SSMTUN	B078VZH3PS	Men's Short Sleeve Oxford Button Down Casual Shirt Black XX-Large	New	23.98	No		Yes	0	0	0	0	0	0.05	0	0	0
CS-BBS030-BL-L	X001SSO285	B078W1C8KL	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, Large	New	22.98	No		Yes	19	14	0	5	19	0.07	0	0	0
CS-BBS030-BL-M	X001SSNEIJ	B078VZKK67	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, Medium	New	22.98	No		Yes	16	14	0	2	21	0.07	0	5	0
CS-BBS030-BL-S	X001SSO6WR	B078VZHXDQ	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, Small	New	22.98	No		Yes	0	0	0	0	0	0.07	0	0	0
CS-BBS030-BL-XL	X001SSMHLJ	B078W1MBSF	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, X-Large	New	23.98	No		Yes	2	0	0	2	2	0.07	0	0	0
CS-BBS030-BL-XXL	X001SSPMOX	B078VZB69X	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, XX-Large	New	23.98	No		Yes	17	14	2	1	20	0.07	0	3	0
CS-BBS030-GR-L	X001SSNYK7	B078W1JJNK	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Gray, Large	New	22.98	No		Yes	25	23	0	2	25	0.07	0	0	0
CS-BBS030-GR-M	X001SSO1QD	B078W1NBSR	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Gray, Medium	New	22.98	No		Yes	10	10	0	0	20	0.07	0	10	0
CS-BBS030-GR-S	X001SSNR4F	B078W1D7HX	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Gray, Small	New	22.98	No		Yes	0	0	0	0	0	0.05	0	0	0
CS-BBS030-GR-XL	X001SSMWOL	B078W1C6NX	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Gray, X-Large	New	23.98	No		Yes	19	16	0	3	19	0.07	0	0	0
CS-BBS030-GR-XXL	X001SSNR4P	B078W18MW3		Unknown					0	0	0	0	0		0	0	0
CS-BBS030-WT-L	X001SSMTP3	B078W1ZVMK	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Light White, Large	New	22.98	No		Yes	22	21	1	0	27	0.07	0	5	0
CS-BBS030-WT-M	X001SSO5GT	B078W1RK6T	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Light White, Medium	New	22.98	No		Yes	12	12	0	0	16	0.07	0	4	0
